id,judul,thumbnail,status,tahun,deskripsi,durasi,created_on,last_modified,user_create_id,user_update_id
61,The Garden of Words,film_images/0061.jpg,Released,2013,"Some people revel and play in the rain; others dread it and hide at the first drop. For high school student Takao, a summer shower is a source of artistic inspiration… but when he skips school in order to sketch in a rainy garden, Takao finds an even greater muse in Yukino, an older woman who seems adrift in the world. Despite the difference in their ages and lives, they strike up a comfortable relationship that slowly evolves as they randomly meet in the same garden whenever it rains. But with the rainy season coming to a close, Takao wonders if there's enough time left to put his feelings into actions and words. (Source: Sentai Filmworks)",46,2023-05-07 11:39:12.430299,2023-05-07 11:39:12.430323,,
62,Grisaia: Phantom Trigger the Animation (TV),film_images/0062.jpg,Released,2020,"While Rena and Maki recover from their injuries, the other SORD members jet off overseas for a school trip. Within moments of their arrival, though, the Mihama gang are pulled into a manhunt for a SORD deserter, assisted by student Sylvia and Velvet of St. Aile's International School. Tohka's the star of the show this time round, but she's wrestling with her own issues - old memories of her parents, and a promise to a friend that she wasn't able to keep... (Source: Frontwing)",60,2023-05-07 11:39:12.430300,2023-05-07 11:39:12.430324,,
63,Happy-Go-Lucky Days,film_images/0063.jpg,Released,2020,"A forbidden crush. An ex’s wedding. Burgeoning feelings for a childhood friend. Happy-Go-Lucky Days tells three universally frank stories about the young people of Japan on the bittersweet journey of adolescence. (Source: HIDIVE) The movie was streamed in advance on Chicago Asian Pop Up Cinema from September 15-19, 2020. Official theater release in Japan began on October 23, 2020.",44,2023-05-07 11:39:12.430301,2023-05-07 11:39:12.430325,,
64,Hello World,film_images/0064.jpg,Released,2019,"In Kyoto in the year 2027, Naomi Katagaki, a male high school student encounters a person who is claiming to be Naomi from 10 years in the future. Together, they must change the future and save a classmate, Ruri, whom the younger Naomi starts to date in three months.",97,2023-05-07 11:39:12.430302,2023-05-07 11:39:12.430326,,
65,Hotaru No Haka,film_images/0065.jpg,Released,1988,"In the latter part of World War II, Seita and his sister Setsuko, orphaned when their mother is killed in the firebombing of Tokyo, are left to survive on their own in what remains of civilian life in Japan. The unfortunate siblings do their best to survive in the Japanese countryside, battling hunger, prejudice, and pride in their own quiet, personal battle.",89,2023-05-07 11:39:12.430303,2023-05-07 11:39:12.430327,,
66,Howl's Moving Castle,film_images/0066.jpg,Released,2004,"Sophie Hatter, the eldest of three, is apprenticed to make hats for the people of Ingary, a place where spells, magic cloaks, and seven-league boots exist. She and all the young girls are warned to stay inside or be taken by Howl, the evil wizard whose black castle can be seen moving through the hills. After an encounter with a witch and with a spell cast on her to make her an old woman, Sophie goes to seek adventure. She heads towards Howl's moving castle where she will encounter things she had never imagined.Source: ANN",119,2023-05-07 11:39:12.430304,2023-05-07 11:39:12.430328,,
67,I Want to Eat Your Pancreas,film_images/0067.jpg,Released,2018,"Spring time in April and the last of the cherry blossoms are still in bloom. The usually aloof bookworm with no interest in others comes across a book in a hospital waiting room. Handwritten on the cover are the words: ""Living with Dying."" He soon discovers that it is a diary kept by his very popular and genuinely cheerful classmate, Sakura Yamauchi, who reveals to him that she is secretly suffering from a pancreatic illness and only has a limited time left. It is at this moment that she gains just one more person to share her secret. Trying to maintain a normal life as much as possible, Sakura is determined to live her life to the fullest until the very last day. As her free spirit and unpredictable actions throw him for a loop, his heart begins to gradually change. (Source: Aniplex USA)",108,2023-05-07 11:39:12.430305,2023-05-07 11:39:12.430329,,
68,In This Corner of the World,film_images/0068.jpg,Released,2016,"Newly-wed Urano Suzu moves to her new life in Kure City on the coast of Hiroshima Prefecture, where she perseveres through World War II with pluck and determination.Note: The movie premiered at Tokyo International Film Festival 2016. Regular cinematic release started on November 12.",129,2023-05-07 11:39:12.430306,2023-05-07 11:39:12.430330,,
69,Into the Forest of Fireflies' Light,film_images/0069.jpg,Released,2011,"The story of Hotarubi no Mori e centers around Hotaru, a little girl who gets lost in an enchanted forest where apparitions reside. A young boy, Gin, appears before Hotaru, but she cannot touch him for fear of making him disappear.",45,2023-05-07 11:39:12.430307,2023-05-07 11:39:12.430331,,
70,Is the Order a Rabbit?? Dear My Sister,film_images/0070.jpg,Released,2017,"Cocoa visits her family, in the mountains, after quite some time again after her sister Mocha wrote her, through a letter, to come back soon. Her friends will have to spend a week in the town without her, while Cocoa has time with her family that she hasn't seen for a long time. But Chino, Cocoa's self proclaimed little sister, wants to go watch, with Cocoa and all her friends, the fireworks in the fireworks festival, which is coming up in less than a week. Cocoa decides to return early as she misses them all, but will she arrive in time for the climax of the festival? (Source: TMDB)",60,2023-05-07 11:39:12.430308,2023-05-07 11:39:12.430332,,
71,"Josee, the Tiger and the Fish.",film_images/0071.jpg,Released,2020,"Based on Tanabe Seiko's short romantic story.Josee is physically disabled and cannot walk without a wheelchair, so she has spent her life like a doll living in her own imagination world. Tsuneo is a university student who has been chasing his dream. They meet by chance and are attracted to each other. Then, Josee decides to go with him to the outside world.Source: Crunchyroll",98,2023-05-07 11:39:12.430309,2023-05-07 11:39:12.430333,,
72,JUJUTSU KAISEN 0,film_images/0072.jpg,Released,2021,"Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him? (Source: Viz Media)",97,2023-05-07 11:39:12.430310,2023-05-07 11:39:12.430334,,
73,K-ON!: The Movie,film_images/0073.jpg,Released,2011,"With graduation right around the corner, every member of the Light Music Club except for Azusa will be leaving for good. But the girls aren’t going to let something as silly as graduation tear them apart! For their final hurrah, the girls are going on the ultimate vacation tour— all the way to London! Their overseas journey will lead them on a trip of discovery and friendship as they take the stage one last time for their final encore together. (Source: Sentai Filmworks)",110,2023-05-07 11:39:12.430311,2023-05-07 11:39:12.430335,,
74,Kaze Tachinu,film_images/0074.jpg,Released,2013,"A lifelong love of flight inspires Japanese aviation engineer Jiro Horikoshi, whose storied career includes the creation of the A-6M World War II fighter plane.",126,2023-05-07 11:39:12.430312,2023-05-07 11:39:12.430336,,
